,Acquisition Function,Belief Function,Trial,Round,Index,Value
0,ThompsonSampling,ThompsonSampling,0,0,0,0.35657018423080444
1,ThompsonSampling,ThompsonSampling,0,0,1,0.42745423316955566
2,ThompsonSampling,ThompsonSampling,0,0,2,0.42127367854118347
3,ThompsonSampling,ThompsonSampling,0,0,3,0.3558289706707001
4,ThompsonSampling,ThompsonSampling,0,0,4,0.37977135181427
5,ThompsonSampling,ThompsonSampling,0,0,5,0.3816800117492676
6,ThompsonSampling,ThompsonSampling,0,0,6,0.4288659989833832
7,ThompsonSampling,ThompsonSampling,0,0,7,0.3747568130493164
8,ThompsonSampling,ThompsonSampling,0,0,8,0.36578455567359924
9,ThompsonSampling,ThompsonSampling,0,0,9,0.4018525183200836
10,ThompsonSampling,ThompsonSampling,0,0,10,0.3185635209083557
11,ThompsonSampling,ThompsonSampling,0,0,11,0.34672248363494873
12,ThompsonSampling,ThompsonSampling,0,0,12,0.3918493688106537
13,ThompsonSampling,ThompsonSampling,0,0,13,0.3797331154346466
14,ThompsonSampling,ThompsonSampling,0,0,14,0.3569785952568054
15,ThompsonSampling,ThompsonSampling,0,0,15,0.38112759590148926
16,ThompsonSampling,ThompsonSampling,0,0,16,0.3435191512107849
17,ThompsonSampling,ThompsonSampling,0,0,17,0.3657640516757965
18,ThompsonSampling,ThompsonSampling,0,0,18,0.3652373254299164
19,ThompsonSampling,ThompsonSampling,0,0,19,0.42832130193710327
20,ThompsonSampling,ThompsonSampling,0,0,20,0.4043252468109131
21,ThompsonSampling,ThompsonSampling,0,0,21,0.36788517236709595
22,ThompsonSampling,ThompsonSampling,0,0,22,0.39176297187805176
23,ThompsonSampling,ThompsonSampling,0,0,23,0.4582858681678772
24,ThompsonSampling,ThompsonSampling,0,0,24,0.3409913182258606
25,ThompsonSampling,ThompsonSampling,0,0,25,0.35232651233673096
26,ThompsonSampling,ThompsonSampling,0,0,26,0.3714020848274231
27,ThompsonSampling,ThompsonSampling,0,0,27,0.33612072467803955
28,ThompsonSampling,ThompsonSampling,0,0,28,0.4064348340034485
29,ThompsonSampling,ThompsonSampling,0,0,29,0.3236221373081207
30,ThompsonSampling,ThompsonSampling,0,0,30,0.3729328513145447
31,ThompsonSampling,ThompsonSampling,0,0,31,0.3430783450603485
32,ThompsonSampling,ThompsonSampling,0,0,32,0.3475629389286041
33,ThompsonSampling,ThompsonSampling,0,0,33,0.3784662187099457
34,ThompsonSampling,ThompsonSampling,0,0,34,0.479952335357666
35,ThompsonSampling,ThompsonSampling,0,0,35,0.36619338393211365
36,ThompsonSampling,ThompsonSampling,0,0,36,0.3785044252872467
