,Acquisition Function,Belief Function,Trial,Round,Index,Value
0,ThompsonSampling,ThompsonSampling,0,0,0,1.3436906337738037
1,ThompsonSampling,ThompsonSampling,0,0,1,1.2796239852905273
2,ThompsonSampling,ThompsonSampling,0,0,2,1.7038944959640503
3,ThompsonSampling,ThompsonSampling,0,0,3,1.4867711067199707
4,ThompsonSampling,ThompsonSampling,0,0,4,1.7774749994277954
5,ThompsonSampling,ThompsonSampling,0,0,5,1.2310314178466797
6,ThompsonSampling,ThompsonSampling,0,0,6,1.3647727966308594
7,ThompsonSampling,ThompsonSampling,0,0,7,1.449594497680664
8,ThompsonSampling,ThompsonSampling,0,0,8,1.3458094596862793
9,ThompsonSampling,ThompsonSampling,0,0,9,1.7312425374984741
10,ThompsonSampling,ThompsonSampling,0,0,10,1.609616994857788
11,ThompsonSampling,ThompsonSampling,0,0,11,1.4961445331573486
12,ThompsonSampling,ThompsonSampling,0,0,12,1.4654237031936646
13,ThompsonSampling,ThompsonSampling,0,0,13,1.8811912536621094
14,ThompsonSampling,ThompsonSampling,0,0,14,1.2674814462661743
15,ThompsonSampling,ThompsonSampling,0,0,15,1.7920621633529663
16,ThompsonSampling,ThompsonSampling,0,0,16,2.013230323791504
17,ThompsonSampling,ThompsonSampling,0,0,17,1.5862257480621338
18,ThompsonSampling,ThompsonSampling,0,0,18,1.992740273475647
19,ThompsonSampling,ThompsonSampling,0,0,19,1.4080226421356201
20,ThompsonSampling,ThompsonSampling,0,0,20,1.7141085863113403
21,ThompsonSampling,ThompsonSampling,0,0,21,1.9184294939041138
22,ThompsonSampling,ThompsonSampling,0,0,22,1.474867343902588
23,ThompsonSampling,ThompsonSampling,0,0,23,1.7923961877822876
24,ThompsonSampling,ThompsonSampling,0,0,24,1.6193989515304565
25,ThompsonSampling,ThompsonSampling,0,0,25,1.364848017692566
26,ThompsonSampling,ThompsonSampling,0,0,26,1.8025403022766113
27,ThompsonSampling,ThompsonSampling,0,0,27,1.780795931816101
28,ThompsonSampling,ThompsonSampling,0,0,28,1.4154523611068726
29,ThompsonSampling,ThompsonSampling,0,0,29,1.4673691987991333
30,ThompsonSampling,ThompsonSampling,0,0,30,1.3452802896499634
31,ThompsonSampling,ThompsonSampling,0,0,31,1.4817789793014526
32,ThompsonSampling,ThompsonSampling,0,0,32,1.715364933013916
33,ThompsonSampling,ThompsonSampling,0,0,33,1.54085111618042
34,ThompsonSampling,ThompsonSampling,0,0,34,1.4648014307022095
35,ThompsonSampling,ThompsonSampling,0,0,35,1.2669737339019775
36,ThompsonSampling,ThompsonSampling,0,0,36,1.3144283294677734
37,ThompsonSampling,ThompsonSampling,0,0,37,1.5963380336761475
