,Acquisition Function,Belief Function,Trial,Round,Index,Value
0,ThompsonSampling,ThompsonSampling,0,0,0,0.43459323048591614
1,ThompsonSampling,ThompsonSampling,0,0,1,0.3667318820953369
2,ThompsonSampling,ThompsonSampling,0,0,2,0.3978028893470764
3,ThompsonSampling,ThompsonSampling,0,0,3,0.4010722041130066
4,ThompsonSampling,ThompsonSampling,0,0,4,0.4291989505290985
5,ThompsonSampling,ThompsonSampling,0,0,5,0.4884786605834961
6,ThompsonSampling,ThompsonSampling,0,0,6,0.3743894398212433
7,ThompsonSampling,ThompsonSampling,0,0,7,0.3917333483695984
8,ThompsonSampling,ThompsonSampling,0,0,8,0.5399178266525269
9,ThompsonSampling,ThompsonSampling,0,0,9,0.45758306980133057
10,ThompsonSampling,ThompsonSampling,0,0,10,0.4641210734844208
11,ThompsonSampling,ThompsonSampling,0,0,11,0.3502905070781708
12,ThompsonSampling,ThompsonSampling,0,0,12,0.3347485065460205
13,ThompsonSampling,ThompsonSampling,0,0,13,0.3790509104728699
14,ThompsonSampling,ThompsonSampling,0,0,14,0.3989851474761963
15,ThompsonSampling,ThompsonSampling,0,0,15,0.350691556930542
16,ThompsonSampling,ThompsonSampling,0,0,16,0.35227006673812866
17,ThompsonSampling,ThompsonSampling,0,0,17,0.40968745946884155
18,ThompsonSampling,ThompsonSampling,0,0,18,0.31433025002479553
19,ThompsonSampling,ThompsonSampling,0,0,19,0.45292219519615173
20,ThompsonSampling,ThompsonSampling,0,0,20,0.3949919641017914
21,ThompsonSampling,ThompsonSampling,0,0,21,0.384387731552124
22,ThompsonSampling,ThompsonSampling,0,0,22,0.483681857585907
23,ThompsonSampling,ThompsonSampling,0,0,23,0.420615017414093
24,ThompsonSampling,ThompsonSampling,0,0,24,0.38839849829673767
25,ThompsonSampling,ThompsonSampling,0,0,25,0.39631572365760803
26,ThompsonSampling,ThompsonSampling,0,0,26,0.3977234959602356
27,ThompsonSampling,ThompsonSampling,0,0,27,0.38906899094581604
28,ThompsonSampling,ThompsonSampling,0,0,28,0.40928980708122253
29,ThompsonSampling,ThompsonSampling,0,0,29,0.4526073634624481
30,ThompsonSampling,ThompsonSampling,0,0,30,0.38635310530662537
31,ThompsonSampling,ThompsonSampling,0,0,31,0.4989197552204132
32,ThompsonSampling,ThompsonSampling,0,0,32,0.38447335362434387
33,ThompsonSampling,ThompsonSampling,0,0,33,0.39895352721214294
34,ThompsonSampling,ThompsonSampling,0,0,34,0.4088892340660095
35,ThompsonSampling,ThompsonSampling,0,0,35,0.41187620162963867
36,ThompsonSampling,ThompsonSampling,0,0,36,0.4551911950111389
37,ThompsonSampling,ThompsonSampling,0,0,37,0.3695604205131531
38,ThompsonSampling,ThompsonSampling,0,0,38,0.4473888576030731
39,ThompsonSampling,ThompsonSampling,0,0,39,0.4347882568836212
40,ThompsonSampling,ThompsonSampling,0,0,40,0.44405442476272583
41,ThompsonSampling,ThompsonSampling,0,0,41,0.40179863572120667
42,ThompsonSampling,ThompsonSampling,0,0,42,0.3674794137477875
43,ThompsonSampling,ThompsonSampling,0,0,43,0.39288654923439026
44,ThompsonSampling,ThompsonSampling,0,0,44,0.4160223603248596
45,ThompsonSampling,ThompsonSampling,0,0,45,0.4315933883190155
46,ThompsonSampling,ThompsonSampling,0,0,46,0.4376073479652405
47,ThompsonSampling,ThompsonSampling,0,0,47,0.3952714502811432
48,ThompsonSampling,ThompsonSampling,0,0,48,0.4024693965911865
49,ThompsonSampling,ThompsonSampling,0,0,49,0.34044384956359863
50,ThompsonSampling,ThompsonSampling,0,0,50,0.4060265123844147
51,ThompsonSampling,ThompsonSampling,0,0,51,0.4227164387702942
52,ThompsonSampling,ThompsonSampling,0,0,52,0.5918678045272827
53,ThompsonSampling,ThompsonSampling,0,0,53,0.5170153379440308
54,ThompsonSampling,ThompsonSampling,0,0,54,0.5308313369750977
55,ThompsonSampling,ThompsonSampling,0,0,55,0.3879830539226532
56,ThompsonSampling,ThompsonSampling,0,0,56,0.46085065603256226
57,ThompsonSampling,ThompsonSampling,0,0,57,0.3776695430278778
58,ThompsonSampling,ThompsonSampling,0,0,58,0.4219880700111389
59,ThompsonSampling,ThompsonSampling,0,0,59,0.42112892866134644
60,ThompsonSampling,ThompsonSampling,0,0,60,0.35662150382995605
61,ThompsonSampling,ThompsonSampling,0,0,61,0.3962858319282532
62,ThompsonSampling,ThompsonSampling,0,0,62,0.45063844323158264
63,ThompsonSampling,ThompsonSampling,0,0,63,0.3803591728210449
64,ThompsonSampling,ThompsonSampling,0,0,64,0.4297952651977539
65,ThompsonSampling,ThompsonSampling,0,0,65,0.3792596161365509
66,ThompsonSampling,ThompsonSampling,0,0,66,0.3984655439853668
67,ThompsonSampling,ThompsonSampling,0,0,67,0.38681337237358093
68,ThompsonSampling,ThompsonSampling,0,0,68,0.36267536878585815
69,ThompsonSampling,ThompsonSampling,0,0,69,0.36666151881217957
70,ThompsonSampling,ThompsonSampling,0,0,70,0.46810781955718994
71,ThompsonSampling,ThompsonSampling,0,0,71,0.3822917938232422
72,ThompsonSampling,ThompsonSampling,0,0,72,0.4769316613674164
73,ThompsonSampling,ThompsonSampling,0,0,73,0.47815439105033875
74,ThompsonSampling,ThompsonSampling,0,0,74,0.36033472418785095
75,ThompsonSampling,ThompsonSampling,0,0,75,0.35611623525619507
76,ThompsonSampling,ThompsonSampling,0,0,76,0.3662475645542145
77,ThompsonSampling,ThompsonSampling,0,0,77,0.4231399595737457
78,ThompsonSampling,ThompsonSampling,0,0,78,0.3706178665161133
79,ThompsonSampling,ThompsonSampling,0,0,79,0.4437432885169983
80,ThompsonSampling,ThompsonSampling,0,0,80,0.4413633644580841
81,ThompsonSampling,ThompsonSampling,0,0,81,0.3844231069087982
82,ThompsonSampling,ThompsonSampling,0,0,82,0.42271822690963745
83,ThompsonSampling,ThompsonSampling,0,0,83,0.43237411975860596
84,ThompsonSampling,ThompsonSampling,0,0,84,0.4360683560371399
85,ThompsonSampling,ThompsonSampling,0,0,85,0.36578139662742615
86,ThompsonSampling,ThompsonSampling,0,0,86,0.35848119854927063
87,ThompsonSampling,ThompsonSampling,0,0,87,0.37582144141197205
88,ThompsonSampling,ThompsonSampling,0,0,88,0.38384395837783813
89,ThompsonSampling,ThompsonSampling,0,0,89,0.3809109032154083
90,ThompsonSampling,ThompsonSampling,0,0,90,0.46195608377456665
91,ThompsonSampling,ThompsonSampling,0,0,91,0.3931214511394501
92,ThompsonSampling,ThompsonSampling,0,0,92,0.42480531334877014
93,ThompsonSampling,ThompsonSampling,0,0,93,0.3772379159927368
94,ThompsonSampling,ThompsonSampling,0,0,94,0.3662268817424774
95,ThompsonSampling,ThompsonSampling,0,0,95,0.3885374069213867
96,ThompsonSampling,ThompsonSampling,0,0,96,0.35842248797416687
97,ThompsonSampling,ThompsonSampling,0,0,97,0.5495978593826294
98,ThompsonSampling,ThompsonSampling,0,0,98,0.43051448464393616
99,ThompsonSampling,ThompsonSampling,0,0,99,0.3344407379627228
100,ThompsonSampling,ThompsonSampling,0,0,100,0.47750478982925415
101,ThompsonSampling,ThompsonSampling,0,0,101,0.3571910858154297
102,ThompsonSampling,ThompsonSampling,0,0,102,0.5158782005310059
103,ThompsonSampling,ThompsonSampling,0,0,103,0.4833330512046814
104,ThompsonSampling,ThompsonSampling,0,0,104,0.34555813670158386
105,ThompsonSampling,ThompsonSampling,0,0,105,0.4328857362270355
106,ThompsonSampling,ThompsonSampling,0,0,106,0.3733343482017517
107,ThompsonSampling,ThompsonSampling,0,0,107,0.38218924403190613
108,ThompsonSampling,ThompsonSampling,0,0,108,0.3491956293582916
109,ThompsonSampling,ThompsonSampling,0,0,109,0.3415016829967499
110,ThompsonSampling,ThompsonSampling,0,0,110,0.36239898204803467
111,ThompsonSampling,ThompsonSampling,0,0,111,0.3543272316455841
112,ThompsonSampling,ThompsonSampling,0,0,112,0.4973077178001404
113,ThompsonSampling,ThompsonSampling,0,0,113,0.4309116303920746
114,ThompsonSampling,ThompsonSampling,0,0,114,0.3734072148799896
115,ThompsonSampling,ThompsonSampling,0,0,115,0.37589654326438904
116,ThompsonSampling,ThompsonSampling,0,0,116,0.3734518587589264
117,ThompsonSampling,ThompsonSampling,0,0,117,0.42738819122314453
118,ThompsonSampling,ThompsonSampling,0,0,118,0.3619377017021179
119,ThompsonSampling,ThompsonSampling,0,0,119,0.36097219586372375
120,ThompsonSampling,ThompsonSampling,0,0,120,0.3276233673095703
121,ThompsonSampling,ThompsonSampling,0,0,121,0.4357483983039856
122,ThompsonSampling,ThompsonSampling,0,0,122,0.34882044792175293
123,ThompsonSampling,ThompsonSampling,0,0,123,0.3695489764213562
124,ThompsonSampling,ThompsonSampling,0,0,124,0.4264407753944397
125,ThompsonSampling,ThompsonSampling,0,0,125,0.42991960048675537
126,ThompsonSampling,ThompsonSampling,0,0,126,0.40135958790779114
127,ThompsonSampling,ThompsonSampling,0,0,127,0.3429940640926361
128,ThompsonSampling,ThompsonSampling,0,0,128,0.3988860547542572
129,ThompsonSampling,ThompsonSampling,0,0,129,0.39821308851242065
130,ThompsonSampling,ThompsonSampling,0,0,130,0.40216153860092163
131,ThompsonSampling,ThompsonSampling,0,0,131,0.3951030671596527
132,ThompsonSampling,ThompsonSampling,0,0,132,0.3780604302883148
133,ThompsonSampling,ThompsonSampling,0,0,133,0.3835996687412262
134,ThompsonSampling,ThompsonSampling,0,0,134,0.37912559509277344
135,ThompsonSampling,ThompsonSampling,0,0,135,0.39183276891708374
136,ThompsonSampling,ThompsonSampling,0,0,136,0.4125542640686035
137,ThompsonSampling,ThompsonSampling,0,0,137,0.4107568860054016
138,ThompsonSampling,ThompsonSampling,0,0,138,0.4480895400047302
139,ThompsonSampling,ThompsonSampling,0,0,139,0.38727644085884094
140,ThompsonSampling,ThompsonSampling,0,0,140,0.5061215162277222
141,ThompsonSampling,ThompsonSampling,0,0,141,0.3449673056602478
142,ThompsonSampling,ThompsonSampling,0,0,142,0.3846432864665985
143,ThompsonSampling,ThompsonSampling,0,0,143,0.3440788984298706
144,ThompsonSampling,ThompsonSampling,0,0,144,0.41293400526046753
145,ThompsonSampling,ThompsonSampling,0,0,145,0.4797157943248749
146,ThompsonSampling,ThompsonSampling,0,0,146,0.4794066548347473
147,ThompsonSampling,ThompsonSampling,0,0,147,0.33983343839645386
148,ThompsonSampling,ThompsonSampling,0,0,148,0.3783474862575531
149,ThompsonSampling,ThompsonSampling,0,0,149,0.32435935735702515
150,ThompsonSampling,ThompsonSampling,0,0,150,0.3618776500225067
151,ThompsonSampling,ThompsonSampling,0,0,151,0.3518731892108917
152,ThompsonSampling,ThompsonSampling,0,0,152,0.40815457701683044
153,ThompsonSampling,ThompsonSampling,0,0,153,0.39262479543685913
154,ThompsonSampling,ThompsonSampling,0,0,154,0.40567660331726074
155,ThompsonSampling,ThompsonSampling,0,0,155,0.3051964342594147
156,ThompsonSampling,ThompsonSampling,0,0,156,0.4504645764827728
157,ThompsonSampling,ThompsonSampling,0,0,157,0.4186955392360687
158,ThompsonSampling,ThompsonSampling,0,0,158,0.42377302050590515
