,Acquisition Function,Belief Function,Trial,Round,Index,Value
0,ThompsonSampling,ThompsonSampling,0,0,0,0.27395546436309814
1,ThompsonSampling,ThompsonSampling,0,0,1,0.304179310798645
2,ThompsonSampling,ThompsonSampling,0,0,2,0.3207955062389374
3,ThompsonSampling,ThompsonSampling,0,0,3,0.2408798336982727
4,ThompsonSampling,ThompsonSampling,0,0,4,0.23919552564620972
5,ThompsonSampling,ThompsonSampling,0,0,5,0.3210746943950653
6,ThompsonSampling,ThompsonSampling,0,0,6,0.27466344833374023
7,ThompsonSampling,ThompsonSampling,0,0,7,0.30491456389427185
8,ThompsonSampling,ThompsonSampling,0,0,8,0.28560352325439453
9,ThompsonSampling,ThompsonSampling,0,0,9,0.23932647705078125
10,ThompsonSampling,ThompsonSampling,0,0,10,0.2707129120826721
11,ThompsonSampling,ThompsonSampling,0,0,11,0.24422110617160797
12,ThompsonSampling,ThompsonSampling,0,0,12,0.3211236894130707
13,ThompsonSampling,ThompsonSampling,0,0,13,0.2931958734989166
14,ThompsonSampling,ThompsonSampling,0,0,14,0.32320234179496765
15,ThompsonSampling,ThompsonSampling,0,0,15,0.24775518476963043
16,ThompsonSampling,ThompsonSampling,0,0,16,0.29096275568008423
17,ThompsonSampling,ThompsonSampling,0,0,17,0.2953781485557556
18,ThompsonSampling,ThompsonSampling,0,0,18,0.29652658104896545
19,ThompsonSampling,ThompsonSampling,0,0,19,0.28068235516548157
20,ThompsonSampling,ThompsonSampling,0,0,20,0.2594875693321228
21,ThompsonSampling,ThompsonSampling,0,0,21,0.2815020680427551
22,ThompsonSampling,ThompsonSampling,0,0,22,0.2679254114627838
23,ThompsonSampling,ThompsonSampling,0,0,23,0.24776005744934082
24,ThompsonSampling,ThompsonSampling,0,0,24,0.26559412479400635
25,ThompsonSampling,ThompsonSampling,0,0,25,0.24429798126220703
26,ThompsonSampling,ThompsonSampling,0,0,26,0.3166449964046478
27,ThompsonSampling,ThompsonSampling,0,0,27,0.23646265268325806
28,ThompsonSampling,ThompsonSampling,0,0,28,0.31697437167167664
29,ThompsonSampling,ThompsonSampling,0,0,29,0.24940013885498047
30,ThompsonSampling,ThompsonSampling,0,0,30,0.251066654920578
31,ThompsonSampling,ThompsonSampling,0,0,31,0.263028085231781
32,ThompsonSampling,ThompsonSampling,0,0,32,0.28957614302635193
33,ThompsonSampling,ThompsonSampling,0,0,33,0.29853376746177673
34,ThompsonSampling,ThompsonSampling,0,0,34,0.2550905644893646
35,ThompsonSampling,ThompsonSampling,0,0,35,0.2942712903022766
36,ThompsonSampling,ThompsonSampling,0,0,36,0.3146252930164337
37,ThompsonSampling,ThompsonSampling,0,0,37,0.2562097907066345
38,ThompsonSampling,ThompsonSampling,0,0,38,0.2754196524620056
39,ThompsonSampling,ThompsonSampling,0,0,39,0.2471855878829956
40,ThompsonSampling,ThompsonSampling,0,0,40,0.26461970806121826
41,ThompsonSampling,ThompsonSampling,0,0,41,0.3189040422439575
42,ThompsonSampling,ThompsonSampling,0,0,42,0.2845151126384735
43,ThompsonSampling,ThompsonSampling,0,0,43,0.30772867798805237
44,ThompsonSampling,ThompsonSampling,0,0,44,0.2692369520664215
45,ThompsonSampling,ThompsonSampling,0,0,45,0.33725062012672424
46,ThompsonSampling,ThompsonSampling,0,0,46,0.38420817255973816
47,ThompsonSampling,ThompsonSampling,0,0,47,0.30578112602233887
48,ThompsonSampling,ThompsonSampling,0,0,48,0.2561064660549164
49,ThompsonSampling,ThompsonSampling,0,0,49,0.27301672101020813
50,ThompsonSampling,ThompsonSampling,0,0,50,0.3792257606983185
51,ThompsonSampling,ThompsonSampling,0,0,51,0.2579708397388458
52,ThompsonSampling,ThompsonSampling,0,0,52,0.2946084141731262
53,ThompsonSampling,ThompsonSampling,0,0,53,0.2660927176475525
54,ThompsonSampling,ThompsonSampling,0,0,54,0.24158038198947906
55,ThompsonSampling,ThompsonSampling,0,0,55,0.28033679723739624
56,ThompsonSampling,ThompsonSampling,0,0,56,0.29325607419013977
57,ThompsonSampling,ThompsonSampling,0,0,57,0.28282415866851807
58,ThompsonSampling,ThompsonSampling,0,0,58,0.2784724831581116
59,ThompsonSampling,ThompsonSampling,0,0,59,0.3167739510536194
60,ThompsonSampling,ThompsonSampling,0,0,60,0.24453139305114746
61,ThompsonSampling,ThompsonSampling,0,0,61,0.2769317626953125
62,ThompsonSampling,ThompsonSampling,0,0,62,0.25337234139442444
63,ThompsonSampling,ThompsonSampling,0,0,63,0.3123392164707184
64,ThompsonSampling,ThompsonSampling,0,0,64,0.34779462218284607
65,ThompsonSampling,ThompsonSampling,0,0,65,0.2541164755821228
66,ThompsonSampling,ThompsonSampling,0,0,66,0.27867650985717773
67,ThompsonSampling,ThompsonSampling,0,0,67,0.258871853351593
68,ThompsonSampling,ThompsonSampling,0,0,68,0.29685235023498535
69,ThompsonSampling,ThompsonSampling,0,0,69,0.3114832937717438
70,ThompsonSampling,ThompsonSampling,0,0,70,0.2973921597003937
71,ThompsonSampling,ThompsonSampling,0,0,71,0.28314897418022156
72,ThompsonSampling,ThompsonSampling,0,0,72,0.2946394383907318
73,ThompsonSampling,ThompsonSampling,0,0,73,0.2554258704185486
74,ThompsonSampling,ThompsonSampling,0,0,74,0.24145865440368652
75,ThompsonSampling,ThompsonSampling,0,0,75,0.24585114419460297
76,ThompsonSampling,ThompsonSampling,0,0,76,0.25499433279037476
77,ThompsonSampling,ThompsonSampling,0,0,77,0.2650866210460663
78,ThompsonSampling,ThompsonSampling,0,0,78,0.2602843940258026
79,ThompsonSampling,ThompsonSampling,0,0,79,0.2541491985321045
80,ThompsonSampling,ThompsonSampling,0,0,80,0.23021343350410461
81,ThompsonSampling,ThompsonSampling,0,0,81,0.28728100657463074
82,ThompsonSampling,ThompsonSampling,0,0,82,0.2730835974216461
83,ThompsonSampling,ThompsonSampling,0,0,83,0.2998203635215759
84,ThompsonSampling,ThompsonSampling,0,0,84,0.2591480314731598
85,ThompsonSampling,ThompsonSampling,0,0,85,0.26102346181869507
86,ThompsonSampling,ThompsonSampling,0,0,86,0.2750276029109955
87,ThompsonSampling,ThompsonSampling,0,0,87,0.3388855755329132
88,ThompsonSampling,ThompsonSampling,0,0,88,0.2627396881580353
89,ThompsonSampling,ThompsonSampling,0,0,89,0.25409838557243347
90,ThompsonSampling,ThompsonSampling,0,0,90,0.23447132110595703
91,ThompsonSampling,ThompsonSampling,0,0,91,0.30570730566978455
92,ThompsonSampling,ThompsonSampling,0,0,92,0.3618551194667816
93,ThompsonSampling,ThompsonSampling,0,0,93,0.3155589997768402
94,ThompsonSampling,ThompsonSampling,0,0,94,0.29605767130851746
95,ThompsonSampling,ThompsonSampling,0,0,95,0.3197007179260254
96,ThompsonSampling,ThompsonSampling,0,0,96,0.3103274405002594
97,ThompsonSampling,ThompsonSampling,0,0,97,0.3173929750919342
98,ThompsonSampling,ThompsonSampling,0,0,98,0.2657541334629059
99,ThompsonSampling,ThompsonSampling,0,0,99,0.29923108220100403
100,ThompsonSampling,ThompsonSampling,0,0,100,0.30305102467536926
101,ThompsonSampling,ThompsonSampling,0,0,101,0.36951181292533875
102,ThompsonSampling,ThompsonSampling,0,0,102,0.28584176301956177
103,ThompsonSampling,ThompsonSampling,0,0,103,0.35638025403022766
104,ThompsonSampling,ThompsonSampling,0,0,104,0.3496706187725067
105,ThompsonSampling,ThompsonSampling,0,0,105,0.3494736850261688
106,ThompsonSampling,ThompsonSampling,0,0,106,0.3058590590953827
107,ThompsonSampling,ThompsonSampling,0,0,107,0.24647338688373566
108,ThompsonSampling,ThompsonSampling,0,0,108,0.2795916199684143
109,ThompsonSampling,ThompsonSampling,0,0,109,0.23802493512630463
110,ThompsonSampling,ThompsonSampling,0,0,110,0.2504846155643463
111,ThompsonSampling,ThompsonSampling,0,0,111,0.3006308674812317
112,ThompsonSampling,ThompsonSampling,0,0,112,0.27071523666381836
113,ThompsonSampling,ThompsonSampling,0,0,113,0.2495986819267273
114,ThompsonSampling,ThompsonSampling,0,0,114,0.28890806436538696
115,ThompsonSampling,ThompsonSampling,0,0,115,0.31187453866004944
116,ThompsonSampling,ThompsonSampling,0,0,116,0.2720492482185364
117,ThompsonSampling,ThompsonSampling,0,0,117,0.28431856632232666
118,ThompsonSampling,ThompsonSampling,0,0,118,0.2610999345779419
119,ThompsonSampling,ThompsonSampling,0,0,119,0.2646227180957794
120,ThompsonSampling,ThompsonSampling,0,0,120,0.2796722650527954
121,ThompsonSampling,ThompsonSampling,0,0,121,0.28635984659194946
122,ThompsonSampling,ThompsonSampling,0,0,122,0.32492953538894653
123,ThompsonSampling,ThompsonSampling,0,0,123,0.2937988042831421
124,ThompsonSampling,ThompsonSampling,0,0,124,0.26273953914642334
125,ThompsonSampling,ThompsonSampling,0,0,125,0.2906171679496765
126,ThompsonSampling,ThompsonSampling,0,0,126,0.2798808217048645
127,ThompsonSampling,ThompsonSampling,0,0,127,0.27359738945961
128,ThompsonSampling,ThompsonSampling,0,0,128,0.32815298438072205
129,ThompsonSampling,ThompsonSampling,0,0,129,0.2532733082771301
130,ThompsonSampling,ThompsonSampling,0,0,130,0.3426114320755005
131,ThompsonSampling,ThompsonSampling,0,0,131,0.28761398792266846
132,ThompsonSampling,ThompsonSampling,0,0,132,0.2484457641839981
133,ThompsonSampling,ThompsonSampling,0,0,133,0.2648000121116638
134,ThompsonSampling,ThompsonSampling,0,0,134,0.3101939857006073
135,ThompsonSampling,ThompsonSampling,0,0,135,0.2948577404022217
136,ThompsonSampling,ThompsonSampling,0,0,136,0.2685336470603943
137,ThompsonSampling,ThompsonSampling,0,0,137,0.2510591745376587
138,ThompsonSampling,ThompsonSampling,0,0,138,0.23128576576709747
139,ThompsonSampling,ThompsonSampling,0,0,139,0.2446126788854599
140,ThompsonSampling,ThompsonSampling,0,0,140,0.28987887501716614
141,ThompsonSampling,ThompsonSampling,0,0,141,0.2555011510848999
142,ThompsonSampling,ThompsonSampling,0,0,142,0.2375943660736084
143,ThompsonSampling,ThompsonSampling,0,0,143,0.31818312406539917
144,ThompsonSampling,ThompsonSampling,0,0,144,0.2726026475429535
145,ThompsonSampling,ThompsonSampling,0,0,145,0.3079053461551666
146,ThompsonSampling,ThompsonSampling,0,0,146,0.2990454137325287
147,ThompsonSampling,ThompsonSampling,0,0,147,0.24832624197006226
148,ThompsonSampling,ThompsonSampling,0,0,148,0.2665773034095764
149,ThompsonSampling,ThompsonSampling,0,0,149,0.28260308504104614
150,ThompsonSampling,ThompsonSampling,0,0,150,0.2888161242008209
151,ThompsonSampling,ThompsonSampling,0,0,151,0.2457093447446823
152,ThompsonSampling,ThompsonSampling,0,0,152,0.23363646864891052
153,ThompsonSampling,ThompsonSampling,0,0,153,0.2688184976577759
154,ThompsonSampling,ThompsonSampling,0,0,154,0.24632860720157623
155,ThompsonSampling,ThompsonSampling,0,0,155,0.2664117217063904
156,ThompsonSampling,ThompsonSampling,0,0,156,0.32899534702301025
157,ThompsonSampling,ThompsonSampling,0,0,157,0.30397671461105347
158,ThompsonSampling,ThompsonSampling,0,0,158,0.2865420877933502
159,ThompsonSampling,ThompsonSampling,0,0,159,0.24391242861747742
160,ThompsonSampling,ThompsonSampling,0,0,160,0.24693605303764343
161,ThompsonSampling,ThompsonSampling,0,0,161,0.24362623691558838
162,ThompsonSampling,ThompsonSampling,0,0,162,0.23201242089271545
163,ThompsonSampling,ThompsonSampling,0,0,163,0.2730956971645355
164,ThompsonSampling,ThompsonSampling,0,0,164,0.3424522578716278
165,ThompsonSampling,ThompsonSampling,0,0,165,0.2942279279232025
166,ThompsonSampling,ThompsonSampling,0,0,166,0.2924155294895172
167,ThompsonSampling,ThompsonSampling,0,0,167,0.3079024851322174
168,ThompsonSampling,ThompsonSampling,0,0,168,0.2591992914676666
169,ThompsonSampling,ThompsonSampling,0,0,169,0.24221187829971313
170,ThompsonSampling,ThompsonSampling,0,0,170,0.29081326723098755
171,ThompsonSampling,ThompsonSampling,0,0,171,0.2669794261455536
172,ThompsonSampling,ThompsonSampling,0,0,172,0.3149988055229187
173,ThompsonSampling,ThompsonSampling,0,0,173,0.29721224308013916
174,ThompsonSampling,ThompsonSampling,0,0,174,0.30221062898635864
175,ThompsonSampling,ThompsonSampling,0,0,175,0.2566160261631012
176,ThompsonSampling,ThompsonSampling,0,0,176,0.2967877984046936
177,ThompsonSampling,ThompsonSampling,0,0,177,0.35651278495788574
178,ThompsonSampling,ThompsonSampling,0,0,178,0.3079049289226532
179,ThompsonSampling,ThompsonSampling,0,0,179,0.23816697299480438
180,ThompsonSampling,ThompsonSampling,0,0,180,0.278395414352417
181,ThompsonSampling,ThompsonSampling,0,0,181,0.2573820948600769
182,ThompsonSampling,ThompsonSampling,0,0,182,0.34336113929748535
183,ThompsonSampling,ThompsonSampling,0,0,183,0.3077273964881897
184,ThompsonSampling,ThompsonSampling,0,0,184,0.28403225541114807
185,ThompsonSampling,ThompsonSampling,0,0,185,0.31589338183403015
186,ThompsonSampling,ThompsonSampling,0,0,186,0.3148587942123413
187,ThompsonSampling,ThompsonSampling,0,0,187,0.27647262811660767
188,ThompsonSampling,ThompsonSampling,0,0,188,0.2679978311061859
189,ThompsonSampling,ThompsonSampling,0,0,189,0.2739039957523346
190,ThompsonSampling,ThompsonSampling,0,0,190,0.25660809874534607
191,ThompsonSampling,ThompsonSampling,0,0,191,0.28114762902259827
192,ThompsonSampling,ThompsonSampling,0,0,192,0.31383293867111206
193,ThompsonSampling,ThompsonSampling,0,0,193,0.28369686007499695
194,ThompsonSampling,ThompsonSampling,0,0,194,0.222438246011734
195,ThompsonSampling,ThompsonSampling,0,0,195,0.3344882130622864
196,ThompsonSampling,ThompsonSampling,0,0,196,0.2894539535045624
197,ThompsonSampling,ThompsonSampling,0,0,197,0.3344106376171112
198,ThompsonSampling,ThompsonSampling,0,0,198,0.29364049434661865
199,ThompsonSampling,ThompsonSampling,0,0,199,0.2510039806365967
200,ThompsonSampling,ThompsonSampling,0,0,200,0.2342817634344101
201,ThompsonSampling,ThompsonSampling,0,0,201,0.29520082473754883
