,Acquisition Function,Trial,Datapoints Acquired,Best Solubility
0,Human,0,0,-0.06871120631694794
1,Human,0,1,0.028851479291915894
2,Human,0,2,0.11500409990549088
3,Human,0,3,0.4658643901348114
4,Human,0,4,0.4658643901348114
5,Human,0,5,1.081037998199463
6,Human,0,6,1.081037998199463
7,Human,0,7,1.081037998199463
8,Human,0,8,1.081037998199463
9,Human,0,9,1.081037998199463
10,Human,0,10,1.081037998199463
11,Human,0,11,1.081037998199463
12,Human,0,12,1.081037998199463
13,Human,0,13,1.081037998199463
14,Human,0,14,1.081037998199463
15,Human,0,15,1.081037998199463
16,Human,0,16,1.081037998199463
17,Human,0,17,1.081037998199463
18,Human,0,18,1.081037998199463
19,Human,0,19,1.081037998199463
20,Human,0,20,1.081037998199463
21,Human,0,21,1.081037998199463
22,Human,0,22,1.081037998199463
23,Human,0,23,1.081037998199463
24,Human,0,24,1.081037998199463
25,Human,0,25,1.081037998199463
26,Human,0,26,1.081037998199463
27,Human,0,27,1.081037998199463
28,Human,0,28,1.081037998199463
29,Human,0,29,1.081037998199463
30,Human,0,30,1.081037998199463
31,Human,0,31,1.081037998199463
32,Human,0,32,1.081037998199463
33,Human,0,33,1.081037998199463
34,Human,0,34,1.081037998199463
35,Human,0,35,1.081037998199463
36,Human,0,36,1.081037998199463
37,Human,0,37,1.081037998199463
38,Human,0,38,1.081037998199463
39,Human,0,39,1.081037998199463
40,Human,0,40,1.081037998199463
41,Human,0,41,1.081037998199463
42,Human,0,42,1.081037998199463
43,Human,0,43,1.081037998199463
44,Human,0,44,1.081037998199463
45,Human,0,45,1.081037998199463
46,Human,0,46,1.081037998199463
47,Human,0,47,1.081037998199463
48,Human,0,48,1.081037998199463
49,Human,0,49,1.081037998199463
50,Human,0,50,1.081037998199463
51,Human,0,51,1.081037998199463
52,Human,0,52,1.081037998199463
53,Human,0,53,1.081037998199463
54,Human,0,54,1.081037998199463
55,Human,0,55,1.081037998199463
56,Human,0,56,1.081037998199463
57,Human,0,57,1.081037998199463
58,Human,0,58,1.081037998199463
59,Human,0,59,1.081037998199463
60,Human,0,60,1.081037998199463
61,Human,0,61,1.081037998199463
62,Human,0,62,1.081037998199463
63,Human,0,63,1.081037998199463
64,Human,0,64,1.081037998199463
65,Human,0,65,1.081037998199463
66,Human,0,66,1.081037998199463
67,Human,0,67,1.081037998199463
68,Human,0,68,1.081037998199463
69,Human,0,69,1.081037998199463
70,Human,0,70,1.081037998199463
71,Human,0,71,1.081037998199463
72,Human,0,72,1.081037998199463
73,Human,0,73,1.081037998199463
74,Human,0,74,1.081037998199463
75,Human,0,75,1.081037998199463
76,Human,0,76,1.081037998199463
77,Human,0,77,1.081037998199463
78,Human,0,78,1.081037998199463
79,Human,0,79,1.081037998199463
80,Human,0,80,1.081037998199463
81,Human,0,81,1.081037998199463
82,Human,0,82,1.081037998199463
83,Human,0,83,1.081037998199463
84,Human,0,84,1.081037998199463
85,Human,0,85,1.081037998199463
86,Human,0,86,1.081037998199463
87,Human,0,87,1.081037998199463
88,Human,0,88,1.081037998199463
89,Human,0,89,1.081037998199463
90,Human,0,90,1.081037998199463
91,Human,0,91,1.081037998199463
92,Human,0,92,1.081037998199463
93,Human,0,93,1.081037998199463
94,Human,0,94,1.081037998199463
95,Human,0,95,1.081037998199463
96,Human,0,96,1.081037998199463
97,Human,0,97,1.081037998199463
98,Human,0,98,1.081037998199463
99,Human,0,99,1.081037998199463
100,Human,0,100,1.081037998199463
101,Human,0,101,1.081037998199463
102,Human,0,102,1.081037998199463
103,Human,0,103,1.081037998199463
104,Human,0,104,1.081037998199463
105,Human,0,105,1.081037998199463
106,Human,0,106,1.081037998199463
107,Human,0,107,1.081037998199463
108,Human,0,108,1.081037998199463
109,Human,0,109,1.081037998199463
110,Human,0,110,1.081037998199463
111,Human,0,111,1.081037998199463
112,Human,0,112,1.081037998199463
113,Human,0,113,1.081037998199463
114,Human,0,114,1.081037998199463
115,Human,0,115,1.081037998199463
116,Human,0,116,1.081037998199463
117,Human,0,117,1.081037998199463
118,Human,0,118,1.081037998199463
119,Human,0,119,1.081037998199463
120,Human,0,120,1.081037998199463
121,Human,0,121,1.081037998199463
122,Human,0,122,1.081037998199463
123,Human,0,123,1.081037998199463
124,Human,0,124,1.081037998199463
125,Human,0,125,1.081037998199463
126,Human,0,126,1.081037998199463
127,Human,0,127,1.081037998199463
128,Human,0,128,1.081037998199463
129,Human,0,129,1.081037998199463
130,Human,0,130,1.081037998199463
131,Human,0,131,1.081037998199463
132,Human,0,132,1.081037998199463
133,Human,0,133,1.081037998199463
134,Human,0,134,1.081037998199463
135,Human,0,135,1.081037998199463
136,Human,0,136,1.081037998199463
137,Human,0,137,1.081037998199463
138,Human,0,138,1.081037998199463
139,Human,0,139,1.081037998199463
140,Human,0,140,1.081037998199463
141,Human,0,141,1.081037998199463
142,Human,0,142,1.081037998199463
143,Human,0,143,1.081037998199463
144,Human,0,144,1.081037998199463
145,Human,0,145,1.081037998199463
146,Human,0,146,1.081037998199463
147,Human,0,147,1.081037998199463
148,Human,0,148,1.081037998199463
149,Human,0,149,1.081037998199463
150,Human,0,150,1.081037998199463
151,Human,0,151,1.081037998199463
152,Human,0,152,1.081037998199463
153,Human,0,153,1.081037998199463
154,Human,0,154,1.081037998199463
155,Human,0,155,1.081037998199463
156,Human,0,156,1.081037998199463
157,Human,0,157,1.081037998199463
158,Human,0,158,1.081037998199463
159,Human,0,159,1.081037998199463
160,Human,0,160,1.081037998199463
161,Human,0,161,1.081037998199463
162,Human,0,162,1.081037998199463
163,Human,0,163,1.081037998199463
164,Human,0,164,1.081037998199463
165,Human,0,165,1.081037998199463
166,Human,0,166,1.081037998199463
167,Human,0,167,1.081037998199463
168,Human,0,168,1.081037998199463
169,Human,0,169,1.081037998199463
170,Human,0,170,1.081037998199463
171,Human,0,171,1.081037998199463
172,Human,0,172,1.081037998199463
173,Human,0,173,1.081037998199463
174,Human,0,174,1.0824249982833862
175,Human,0,175,1.0824249982833862
176,Human,0,176,1.0824249982833862
177,Human,0,177,1.0824249982833862
178,Human,0,178,1.0824249982833862
179,Human,0,179,1.0824249982833862
180,Human,0,180,1.0824249982833862
181,Human,0,181,1.0824249982833862
182,Human,0,182,1.0824249982833862
183,Human,0,183,1.0824249982833862
184,Human,0,184,1.0824249982833862
185,Human,0,185,1.0824249982833862
186,Human,0,186,1.0824249982833862
187,Human,0,187,1.0824249982833862
188,Human,0,188,1.0824249982833862
189,Human,0,189,1.0824249982833862
190,Human,0,190,1.0824249982833862
191,Human,0,191,1.0824249982833862
192,Human,0,192,1.0824249982833862
193,Human,0,193,1.0824249982833862
194,Human,0,194,1.0824249982833862
195,Human,0,195,1.0824249982833862
196,Human,0,196,1.0824249982833862
197,Human,0,197,1.0824249982833862
198,Human,0,198,1.0824249982833862
199,Human,0,199,1.0824249982833862
200,Human,0,200,1.0824249982833862
201,Human,0,201,1.0824249982833862
202,Human,0,202,1.0824249982833862
203,Human,0,203,1.0824249982833862
204,Human,0,204,1.0824249982833862
205,Human,0,205,1.0824249982833862
206,Human,0,206,1.0824249982833862
207,Human,0,207,1.0824249982833862
208,Human,0,208,1.0824249982833862
209,Human,0,209,1.0824249982833862
210,Human,0,210,1.0824249982833862
211,Human,0,211,1.0824249982833862
212,Human,0,212,1.0824249982833862
213,Human,0,213,1.0824249982833862
214,Human,0,214,1.0824249982833862
215,Human,0,215,1.0824249982833862
216,Human,0,216,1.0824249982833862
217,Human,0,217,1.0824249982833862
218,Human,0,218,1.0824249982833862
219,Human,0,219,1.0824249982833862
220,Human,0,220,1.0824249982833862
221,Human,0,221,1.0824249982833862
222,Human,0,222,1.0824249982833862
223,Human,0,223,1.0824249982833862
