Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0016332,,CC(C)(C)c1ccc(cc1)N(C(C(=O)N1CCOCC1)c1cccnc1)C(=O)c1ccco1,41,41,,1,4.4,0.186,1.23
CVD-0016297,,CN1CCN(CC1)c1ncc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -0.497
CVD-0016295,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1c(nc2ccccn2c1=O)N1CCOCC1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.117,< -0.150
CVD-0016294,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnccn1)C(=O)c1cocn1,1.21,1.21,,1,5.9,0.224,2.18
CVD-0016293,,Cn1cc(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)n(C)c1=O,(IC50 could not be calculated),,,,,,
CVD-0016292,,COc1ncncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,8.43,8.43,,1,5.1,0.182,0.772
CVD-0016290,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncnc1)C(=O)c1cocn1,2.92,2.92,,1,5.5,0.209,1.67
CVD-0016289,,COc1ncnc(OC)c1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,(IC50 could not be calculated),,,,,,
CVD-0016288,,COc1nccnc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,94.9,94.9,,1,4,0.144,-0.153
CVD-0016287,,CN(C)c1ncc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -0.650
CVD-0016286,,CN(CCO)c1ccc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,(IC50 could not be calculated),,,,,,
CVD-0016285,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnc(nc1)N1CCOCC1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.130,< -0.432
CVD-0016284,,Cn1cccc(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c1=O,> 99.5,> 99.5,,1,< 4.0,< 0.144,< 0.0638
CVD-0016283,,CN(C)c1cnc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,(IC50 could not be calculated),,,,,,
CVD-0016282,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1c[nH]c(=O)[nH]c1=O)C(=O)c1cocn1,(IC50 could not be calculated),,,,,,
CVD-0016281,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc2COCCc2[nH]c1=O)C(=O)c1cocn1,(IC50 could not be calculated),,,,,,
CVD-0016280,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1ccc[nH]c1=O)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< 0.287
CVD-0016279,,Cn1c(N2CCOCC2)c(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)n(C)c1=O,(IC50 could not be calculated),,,,,,
CVD-0016278,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1ccnnc1)C(=O)c1cocn1,2.05,2.05,,1,5.7,0.215,2.1
CVD-0016277,,COc1nc2ncc(cn2n1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,33.4,33.4,,1,4.5,0.149,-0.0734
CVD-0016276,,Cn1cc(ccc1=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,> 99.5,,1,< 4.0,< 0.144,< 0.216
CVD-0016275,,Cc1cc(O)c(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< 0.484
CVD-0016274,,Cc1ccncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,0.653,0.653,,1,6.2,0.228,1.1
CVD-0016255,,CNC(=O)C1(CC(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc12,30.7,30.7,,1,4.5,0.218,2.08
CVD-0015870,,CN(C)CC(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,5,5,,1,5.3,0.232,3.09
CVD-0015869,,Clc1ccc2OCCC(CNC(=O)Cn3ccnc3)(C(=O)Nc3cncc4ccccc34)c2c1,2.88,2.88,,1,5.5,0.228,3.44
CVD-0015760,,CCOC(=O)c1ncoc1CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.88,5.88,,1,5.2,0.188,2.68
CVD-0015759,,CCOC(=O)CCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.24,6.24,,1,5.2,0.202,2.28
CVD-0015758,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1cocn1,82.5,82.5,,1,4.1,0.159,1.87
CVD-0015757,,CSCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.85,3.85,,1,5.4,0.23,1.99
CVD-0015755,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC(=O)OCc1ccccc1)c1cccnc1)C(=O)c1cocn1,9.92,9.92,,1,5,0.18,1.24
CVD-0015754,,CC(C)(C)OC(=O)N1CC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.91,6.91,,1,5.2,0.185,1.94
CVD-0015753,,Cc1ccc(cc1)S(=O)(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,62.9,62.9,,1,4.2,0.151,0.522
CVD-0015752,,COc1ccc(NC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)c2cccnc2)cn1,5.37,5.37,,1,5.3,0.205,1.62
CVD-0015751,,COC(=O)[C@@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.66,2.66,,1,5.6,0.177,2.46
CVD-0015750,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CC(F)(F)C1)c1cccnc1)C(=O)c1cocn1,2.35,2.35,,1,5.6,0.232,2.08
CVD-0015749,,CC(C)(C)OC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.18,8.18,,1,5.1,0.198,1.99
CVD-0015748,,COC(=O)[C@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.32,5.32,,1,5.3,0.168,2.16
CVD-0015747,,COC(=O)C1(CCCC1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.26,5.26,,1,5.3,0.2,1.66
CVD-0015745,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1COC1)c1cccnc1)C(=O)c1cocn1,4.07,4.07,,1,5.4,0.236,3.13
CVD-0015744,,COC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,10.8,10.8,,1,5,0.211,2.93
CVD-0015743,,CCOC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,9.53,9.53,,1,5,0.207,2.62
CVD-0015742,,COCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.46,8.46,,1,5.1,0.222,2.7
CVD-0015741,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCOC1)c1cccnc1)C(=O)c1cocn1,2.77,2.77,,1,5.6,0.236,3.24
CVD-0015740,,COC(CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1)OC,7.91,7.91,,1,5.1,0.21,2.45
CVD-0015738,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC1CCCO1)c1cccnc1)C(=O)c1cocn1,5.15,5.15,,1,5.3,0.218,2.45
CVD-0015737,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC1CCOC1)c1cccnc1)C(=O)c1cocn1,5.42,5.42,,1,5.3,0.217,2.83
CVD-0015736,,CC(C)(C)OC(=O)N1CCC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.65,3.65,,1,5.4,0.19,2.16
CVD-0015735,,COC(=O)[C@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,0.837,0.837,,1,6.1,0.193,2.96
CVD-0015734,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.82,6.82,,1,5.2,0.164,2.05
