,SMILES_x,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,acrylamide,chloroacetamide,series,Molecule Name,SMILES_y,Batch Created Date,Batch Updated Date,Date,stereochem comments
333,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,MED-COV-4280ac29-15,MED-COV-4280ac29-15,99.8384869,100.4236773,0.545448361,,108.2425,3.137413982,5.503428172,99.02312,10.040808,1.328529896,0.983892164,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002720,ClCC(=O)N1CCN(Cc2cccc(Cl)c2)CC1,4/23/2020,5/21/2020,,
283,O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1,SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,100.4236773,100.4236773,0.385836738,,108.1038,1.975387476,5.704347704,100.7543,27.27835,1.440545962,0.95975066,-0.2,0.01,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003482,ClCC(=O)N1CCN(CC1)C(c1ccccc1)c1ccccc1,4/23/2020,5/12/2020,,
267,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,LON-WEI-8f408cad-2,LON-WEI-8f408cad-2,98.6225,99.205,2.62321369,98.65946,103.96275,3.284511245,5.483529247,97.39301,14.90408,1.43018608,0.989646001,0.96,0.88,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001865,Fc1cccc(F)c1S(=O)(=O)N1CCN(CC1)C(=O)CCl,4/23/2020,5/21/2020,,
271,O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,LON-WEI-8f408cad-4,LON-WEI-8f408cad-4,96.62,96.84,2.02356071,97.289005,103.54665,4.550488738,5.341941956,99.85243,13.280865,1.323082252,0.991878559,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001867,Fc1cccc(c1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,4/23/2020,5/21/2020,,
285,Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,90.84785203,96.28668182,1.623368903,,101.1492,14.21648545,4.847207755,91.04736,-6.39297565,1.334152053,0.951398971,0.99,0.98,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003751,Cc1ccc(C)c(c1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,4/23/2020,5/21/2020,,
339,COCc1cc(Cl)cc(CN2CCN(C(=O)CCl)CC2)c1,MED-COV-4280ac29-33,MED-COV-4280ac29-33,,,,97.637755,99.86431,4.773754648,5.321139906,99.63752,11.2997615,1.43945508,0.992250453,,,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002739,COCc1cc(Cl)cc(CN2CCN(CC2)C(=O)CCl)c1,4/23/2020,6/2/2020,,
269,O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,LON-WEI-8f408cad-3,LON-WEI-8f408cad-3,97.8875,97.79,0.556543843,99.2957,99.55992,2.161829062,5.665178649,99.409745,23.85637,1.360719022,0.993504939,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001866,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1cccs1,4/23/2020,5/21/2020,,
444,CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,DAN-LON-a5fc619e-3,DAN-LON-a5fc619e-3,,137.8179032,,99.249175,99.47946,0.784006101,6.105680558,100.54225,49.93362,1.431619877,0.990055318,,,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0000649,CC(C)C[C@@H]1CN(CCN1Cc1cccc(Cl)c1)C(=O)CCl,4/23/2020,5/26/2020,,imperfect match for DAN-LON-a5fc619e-3
275,O=C(CCl)N1CCN(Cc2ccsc2)CC1,LON-WEI-8f408cad-7,LON-WEI-8f408cad-7,,,1.137302208,98.779325,99.437475,3.49772003,5.456214956,99.06542,14.36301,1.288178267,0.996357073,1,0.99,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001869,ClCC(=O)N1CCN(Cc2ccsc2)CC1,4/23/2020,5/21/2020,,
435,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,MAT-POS-916a2c5a-1,MAT-POS-916a2c5a-1,95.6975,91.09,0.968770334,99.36241,99.242285,1.871182666,5.727883814,99.06542,28.67683,1.392743392,0.990868408,0.95,0.83,99,FALSE,TRUE,,CVD-0002706,COc1ccc(cc1OC)C1CC(=NN1C(=O)CCl)c1cccs1,4/23/2020,5/12/2020,,
