,Acquisition Function,Trial,Datapoints Acquired,Best Solubility
0,ThompsonSampling,0,0,-4.882999897003174
1,ThompsonSampling,0,1,-4.150000095367432
2,ThompsonSampling,0,2,-0.8999999761581421
3,ThompsonSampling,0,3,-0.8999999761581421
4,ThompsonSampling,0,4,-0.8999999761581421
5,ThompsonSampling,0,5,-0.8999999761581421
6,ThompsonSampling,0,6,-0.8999999761581421
7,ThompsonSampling,0,7,-0.8999999761581421
8,ThompsonSampling,0,8,-0.4099999964237213
9,ThompsonSampling,0,9,-0.4099999964237213
10,ThompsonSampling,0,10,-0.4099999964237213
