,Acquisition Function,Trial,Step,Best Solubility,Regret,Cumulative Regret
0,Upper Confidence Bound,0,0,-3.671999931335449,5.2519999742507935,5.2519999742507935
1,Upper Confidence Bound,0,1,-3.671999931335449,5.2519999742507935,10.503999948501587
2,Upper Confidence Bound,0,2,-3.671999931335449,5.2519999742507935,15.75599992275238
3,Upper Confidence Bound,0,3,-2.390000104904175,3.970000147819519,19.7260000705719
4,Upper Confidence Bound,0,4,-2.390000104904175,3.970000147819519,23.69600021839142
5,Upper Confidence Bound,0,5,0.5799999833106995,1.0000000596046448,24.696000277996063
6,Upper Confidence Bound,0,6,0.5799999833106995,1.0000000596046448,25.696000337600708
7,Upper Confidence Bound,0,7,0.5799999833106995,1.0000000596046448,26.696000397205353
8,Upper Confidence Bound,0,8,0.5799999833106995,1.0000000596046448,27.696000456809998
9,Upper Confidence Bound,0,9,0.5799999833106995,1.0000000596046448,28.696000516414642
10,Upper Confidence Bound,0,10,0.5799999833106995,1.0000000596046448,29.696000576019287
11,Upper Confidence Bound,0,11,0.5799999833106995,1.0000000596046448,30.696000635623932
12,Upper Confidence Bound,0,12,0.5799999833106995,1.0000000596046448,31.696000695228577
13,Upper Confidence Bound,0,13,0.5799999833106995,1.0000000596046448,32.69600075483322
14,Upper Confidence Bound,0,14,0.5799999833106995,1.0000000596046448,33.696000814437866
15,Upper Confidence Bound,0,15,0.5799999833106995,1.0000000596046448,34.69600087404251
16,Upper Confidence Bound,0,16,0.5799999833106995,1.0000000596046448,35.696000933647156
17,Upper Confidence Bound,0,17,0.5799999833106995,1.0000000596046448,36.6960009932518
18,Upper Confidence Bound,0,18,0.5799999833106995,1.0000000596046448,37.696001052856445
19,Upper Confidence Bound,0,19,0.5799999833106995,1.0000000596046448,38.69600111246109
20,Upper Confidence Bound,0,20,0.5799999833106995,1.0000000596046448,39.696001172065735
21,Upper Confidence Bound,0,21,0.5799999833106995,1.0000000596046448,40.69600123167038
22,Upper Confidence Bound,0,22,0.5799999833106995,1.0000000596046448,41.696001291275024
23,Upper Confidence Bound,0,23,0.5799999833106995,1.0000000596046448,42.69600135087967
24,Upper Confidence Bound,0,24,0.5799999833106995,1.0000000596046448,43.696001410484314
25,Upper Confidence Bound,0,25,0.5799999833106995,1.0000000596046448,44.69600147008896
26,Upper Confidence Bound,0,26,0.5799999833106995,1.0000000596046448,45.6960015296936
27,Upper Confidence Bound,0,27,0.5799999833106995,1.0000000596046448,46.69600158929825
28,Upper Confidence Bound,0,28,0.5799999833106995,1.0000000596046448,47.69600164890289
29,Upper Confidence Bound,0,29,0.5799999833106995,1.0000000596046448,48.69600170850754
30,Upper Confidence Bound,0,30,1.1200000047683716,0.46000003814697266,49.15600174665451
31,Upper Confidence Bound,0,31,1.1200000047683716,0.46000003814697266,49.61600178480148
32,Upper Confidence Bound,0,32,1.1200000047683716,0.46000003814697266,50.076001822948456
33,Upper Confidence Bound,0,33,1.1200000047683716,0.46000003814697266,50.53600186109543
34,Upper Confidence Bound,0,34,1.1200000047683716,0.46000003814697266,50.9960018992424
35,Upper Confidence Bound,0,35,1.1200000047683716,0.46000003814697266,51.456001937389374
36,Upper Confidence Bound,0,36,1.1200000047683716,0.46000003814697266,51.916001975536346
37,Upper Confidence Bound,1,0,-1.2400000095367432,2.8200000524520874,2.8200000524520874
38,Upper Confidence Bound,1,1,-1.2400000095367432,2.8200000524520874,5.640000104904175
39,Upper Confidence Bound,1,2,-1.2400000095367432,2.8200000524520874,8.460000157356262
40,Upper Confidence Bound,1,3,-1.2400000095367432,2.8200000524520874,11.28000020980835
41,Upper Confidence Bound,1,4,-1.2400000095367432,2.8200000524520874,14.100000262260437
42,Upper Confidence Bound,1,5,-1.2400000095367432,2.8200000524520874,16.920000314712524
43,Upper Confidence Bound,1,6,-1.2400000095367432,2.8200000524520874,19.740000367164612
44,Upper Confidence Bound,1,7,-1.2400000095367432,2.8200000524520874,22.5600004196167
45,Upper Confidence Bound,1,8,-1.2400000095367432,2.8200000524520874,25.380000472068787
46,Upper Confidence Bound,1,9,1.090000033378601,0.49000000953674316,25.87000048160553
47,Upper Confidence Bound,1,10,1.090000033378601,0.49000000953674316,26.360000491142273
48,Upper Confidence Bound,1,11,1.090000033378601,0.49000000953674316,26.850000500679016
49,Upper Confidence Bound,1,12,1.090000033378601,0.49000000953674316,27.34000051021576
50,Upper Confidence Bound,1,13,1.090000033378601,0.49000000953674316,27.830000519752502
51,Upper Confidence Bound,1,14,1.090000033378601,0.49000000953674316,28.320000529289246
52,Upper Confidence Bound,1,15,1.090000033378601,0.49000000953674316,28.81000053882599
53,Upper Confidence Bound,1,16,1.090000033378601,0.49000000953674316,29.300000548362732
54,Upper Confidence Bound,1,17,1.090000033378601,0.49000000953674316,29.790000557899475
55,Upper Confidence Bound,1,18,1.090000033378601,0.49000000953674316,30.28000056743622
56,Upper Confidence Bound,1,19,1.090000033378601,0.49000000953674316,30.77000057697296
57,Upper Confidence Bound,1,20,1.090000033378601,0.49000000953674316,31.260000586509705
58,Upper Confidence Bound,1,21,1.090000033378601,0.49000000953674316,31.750000596046448
59,Upper Confidence Bound,1,22,1.090000033378601,0.49000000953674316,32.24000060558319
60,Upper Confidence Bound,1,23,1.090000033378601,0.49000000953674316,32.730000615119934
61,Upper Confidence Bound,1,24,1.090000033378601,0.49000000953674316,33.22000062465668
62,Upper Confidence Bound,1,25,1.090000033378601,0.49000000953674316,33.71000063419342
63,Upper Confidence Bound,1,26,1.090000033378601,0.49000000953674316,34.200000643730164
64,Upper Confidence Bound,1,27,1.090000033378601,0.49000000953674316,34.69000065326691
65,Upper Confidence Bound,1,28,1.090000033378601,0.49000000953674316,35.18000066280365
66,Upper Confidence Bound,1,29,1.090000033378601,0.49000000953674316,35.67000067234039
67,Upper Confidence Bound,1,30,1.090000033378601,0.49000000953674316,36.160000681877136
68,Upper Confidence Bound,1,31,1.090000033378601,0.49000000953674316,36.65000069141388
69,Upper Confidence Bound,1,32,1.090000033378601,0.49000000953674316,37.14000070095062
70,Upper Confidence Bound,1,33,1.090000033378601,0.49000000953674316,37.630000710487366
71,Upper Confidence Bound,1,34,1.090000033378601,0.49000000953674316,38.12000072002411
72,Upper Confidence Bound,1,35,1.090000033378601,0.49000000953674316,38.61000072956085
73,Upper Confidence Bound,1,36,1.090000033378601,0.49000000953674316,39.100000739097595
74,Upper Confidence Bound,2,0,-3.2200000286102295,4.800000071525574,4.800000071525574
75,Upper Confidence Bound,2,1,-2.5299999713897705,4.110000014305115,8.910000085830688
76,Upper Confidence Bound,2,2,-2.5299999713897705,4.110000014305115,13.020000100135803
77,Upper Confidence Bound,2,3,-2.2300000190734863,3.8100000619888306,16.830000162124634
78,Upper Confidence Bound,2,4,0.10599999874830246,1.4740000441670418,18.304000206291676
79,Upper Confidence Bound,2,5,0.10599999874830246,1.4740000441670418,19.778000250458717
80,Upper Confidence Bound,2,6,0.10599999874830246,1.4740000441670418,21.25200029462576
81,Upper Confidence Bound,2,7,0.10599999874830246,1.4740000441670418,22.7260003387928
82,Upper Confidence Bound,2,8,0.10599999874830246,1.4740000441670418,24.200000382959843
83,Upper Confidence Bound,2,9,0.10599999874830246,1.4740000441670418,25.674000427126884
84,Upper Confidence Bound,2,10,0.10599999874830246,1.4740000441670418,27.148000471293926
85,Upper Confidence Bound,2,11,0.10599999874830246,1.4740000441670418,28.622000515460968
86,Upper Confidence Bound,2,12,0.5230000019073486,1.0570000410079956,29.679000556468964
87,Upper Confidence Bound,2,13,0.5230000019073486,1.0570000410079956,30.73600059747696
88,Upper Confidence Bound,2,14,0.5230000019073486,1.0570000410079956,31.793000638484955
89,Upper Confidence Bound,2,15,0.5230000019073486,1.0570000410079956,32.85000067949295
90,Upper Confidence Bound,2,16,0.5230000019073486,1.0570000410079956,33.907000720500946
91,Upper Confidence Bound,2,17,0.5230000019073486,1.0570000410079956,34.96400076150894
92,Upper Confidence Bound,2,18,0.5230000019073486,1.0570000410079956,36.02100080251694
93,Upper Confidence Bound,2,19,0.5230000019073486,1.0570000410079956,37.07800084352493
94,Upper Confidence Bound,2,20,0.5230000019073486,1.0570000410079956,38.13500088453293
95,Upper Confidence Bound,2,21,0.5230000019073486,1.0570000410079956,39.192000925540924
96,Upper Confidence Bound,2,22,0.5230000019073486,1.0570000410079956,40.24900096654892
97,Upper Confidence Bound,2,23,0.5230000019073486,1.0570000410079956,41.306001007556915
98,Upper Confidence Bound,2,24,0.5230000019073486,1.0570000410079956,42.36300104856491
99,Upper Confidence Bound,2,25,0.5230000019073486,1.0570000410079956,43.42000108957291
100,Upper Confidence Bound,2,26,0.5230000019073486,1.0570000410079956,44.4770011305809
101,Upper Confidence Bound,2,27,0.5230000019073486,1.0570000410079956,45.5340011715889
102,Upper Confidence Bound,2,28,0.5230000019073486,1.0570000410079956,46.59100121259689
103,Upper Confidence Bound,2,29,0.5230000019073486,1.0570000410079956,47.64800125360489
104,Upper Confidence Bound,2,30,0.5230000019073486,1.0570000410079956,48.705001294612885
105,Upper Confidence Bound,2,31,0.5230000019073486,1.0570000410079956,49.76200133562088
106,Upper Confidence Bound,2,32,0.5230000019073486,1.0570000410079956,50.819001376628876
107,Upper Confidence Bound,2,33,0.5230000019073486,1.0570000410079956,51.87600141763687
108,Upper Confidence Bound,2,34,0.5230000019073486,1.0570000410079956,52.93300145864487
109,Upper Confidence Bound,2,35,0.5230000019073486,1.0570000410079956,53.99000149965286
110,Upper Confidence Bound,2,36,0.5230000019073486,1.0570000410079956,55.04700154066086
111,Upper Confidence Bound,3,0,-1.6139999628067017,3.194000005722046,3.194000005722046
112,Upper Confidence Bound,3,1,-0.44999998807907104,2.0300000309944153,5.224000036716461
113,Upper Confidence Bound,3,2,-0.44999998807907104,2.0300000309944153,7.2540000677108765
114,Upper Confidence Bound,3,3,-0.44999998807907104,2.0300000309944153,9.284000098705292
115,Upper Confidence Bound,3,4,-0.44999998807907104,2.0300000309944153,11.314000129699707
116,Upper Confidence Bound,3,5,-0.44999998807907104,2.0300000309944153,13.344000160694122
117,Upper Confidence Bound,3,6,-0.44999998807907104,2.0300000309944153,15.374000191688538
118,Upper Confidence Bound,3,7,-0.44999998807907104,2.0300000309944153,17.404000222682953
119,Upper Confidence Bound,3,8,-0.44999998807907104,2.0300000309944153,19.434000253677368
120,Upper Confidence Bound,3,9,-0.44999998807907104,2.0300000309944153,21.464000284671783
121,Upper Confidence Bound,3,10,-0.44999998807907104,2.0300000309944153,23.4940003156662
122,Upper Confidence Bound,3,11,-0.44999998807907104,2.0300000309944153,25.524000346660614
123,Upper Confidence Bound,3,12,-0.44999998807907104,2.0300000309944153,27.55400037765503
124,Upper Confidence Bound,3,13,-0.44999998807907104,2.0300000309944153,29.584000408649445
125,Upper Confidence Bound,3,14,-0.44999998807907104,2.0300000309944153,31.61400043964386
126,Upper Confidence Bound,3,15,-0.44999998807907104,2.0300000309944153,33.644000470638275
127,Upper Confidence Bound,3,16,-0.44999998807907104,2.0300000309944153,35.67400050163269
128,Upper Confidence Bound,3,17,-0.44999998807907104,2.0300000309944153,37.704000532627106
129,Upper Confidence Bound,3,18,-0.44999998807907104,2.0300000309944153,39.73400056362152
130,Upper Confidence Bound,3,19,-0.44999998807907104,2.0300000309944153,41.764000594615936
131,Upper Confidence Bound,3,20,-0.44999998807907104,2.0300000309944153,43.79400062561035
132,Upper Confidence Bound,3,21,-0.44999998807907104,2.0300000309944153,45.82400065660477
133,Upper Confidence Bound,3,22,-0.44999998807907104,2.0300000309944153,47.85400068759918
134,Upper Confidence Bound,3,23,-0.44999998807907104,2.0300000309944153,49.8840007185936
135,Upper Confidence Bound,3,24,-0.44999998807907104,2.0300000309944153,51.91400074958801
136,Upper Confidence Bound,3,25,-0.44999998807907104,2.0300000309944153,53.94400078058243
137,Upper Confidence Bound,3,26,-0.44999998807907104,2.0300000309944153,55.97400081157684
138,Upper Confidence Bound,3,27,1.1440000534057617,0.4359999895095825,56.410000801086426
139,Upper Confidence Bound,3,28,1.1440000534057617,0.4359999895095825,56.84600079059601
140,Upper Confidence Bound,3,29,1.1440000534057617,0.4359999895095825,57.28200078010559
141,Upper Confidence Bound,3,30,1.1440000534057617,0.4359999895095825,57.71800076961517
142,Upper Confidence Bound,3,31,1.1440000534057617,0.4359999895095825,58.154000759124756
143,Upper Confidence Bound,3,32,1.1440000534057617,0.4359999895095825,58.59000074863434
144,Upper Confidence Bound,3,33,1.1440000534057617,0.4359999895095825,59.02600073814392
145,Upper Confidence Bound,3,34,1.1440000534057617,0.4359999895095825,59.4620007276535
146,Upper Confidence Bound,3,35,1.1440000534057617,0.4359999895095825,59.898000717163086
147,Upper Confidence Bound,3,36,1.1440000534057617,0.4359999895095825,60.33400070667267
148,Upper Confidence Bound,4,0,-5.46999979019165,7.049999833106995,7.049999833106995
149,Upper Confidence Bound,4,1,-4.804999828338623,6.384999871253967,13.434999704360962
150,Upper Confidence Bound,4,2,-3.5360000133514404,5.116000056266785,18.550999760627747
151,Upper Confidence Bound,4,3,-3.5360000133514404,5.116000056266785,23.66699981689453
152,Upper Confidence Bound,4,4,-3.5360000133514404,5.116000056266785,28.782999873161316
153,Upper Confidence Bound,4,5,-3.5360000133514404,5.116000056266785,33.8989999294281
154,Upper Confidence Bound,4,6,-2.0840001106262207,3.664000153541565,37.563000082969666
155,Upper Confidence Bound,4,7,-2.0840001106262207,3.664000153541565,41.22700023651123
156,Upper Confidence Bound,4,8,-2.0840001106262207,3.664000153541565,44.891000390052795
157,Upper Confidence Bound,4,9,-2.0840001106262207,3.664000153541565,48.55500054359436
158,Upper Confidence Bound,4,10,-2.0840001106262207,3.664000153541565,52.219000697135925
159,Upper Confidence Bound,4,11,-2.0840001106262207,3.664000153541565,55.88300085067749
160,Upper Confidence Bound,4,12,-1.850000023841858,3.430000066757202,59.31300091743469
161,Upper Confidence Bound,4,13,-1.850000023841858,3.430000066757202,62.743000984191895
162,Upper Confidence Bound,4,14,-1.850000023841858,3.430000066757202,66.1730010509491
163,Upper Confidence Bound,4,15,-1.850000023841858,3.430000066757202,69.6030011177063
164,Upper Confidence Bound,4,16,-1.850000023841858,3.430000066757202,73.0330011844635
165,Upper Confidence Bound,4,17,-1.850000023841858,3.430000066757202,76.4630012512207
166,Upper Confidence Bound,4,18,-1.7400000095367432,3.3200000524520874,79.78300130367279
167,Upper Confidence Bound,4,19,-1.7400000095367432,3.3200000524520874,83.10300135612488
168,Upper Confidence Bound,4,20,-0.2199999988079071,1.8000000417232513,84.90300139784813
169,Upper Confidence Bound,4,21,-0.2199999988079071,1.8000000417232513,86.70300143957138
170,Upper Confidence Bound,4,22,-0.1899999976158142,1.7700000405311584,88.47300148010254
171,Upper Confidence Bound,4,23,-0.1899999976158142,1.7700000405311584,90.2430015206337
172,Upper Confidence Bound,4,24,-0.1899999976158142,1.7700000405311584,92.01300156116486
173,Upper Confidence Bound,4,25,-0.1899999976158142,1.7700000405311584,93.78300160169601
